,state,fyDeclared,disasterNumber
1610,PA,2010,1
1611,PA,2011,5
1612,PA,2013,2
1613,PA,2014,2
1614,PA,2016,1
1615,PA,2017,1
1616,PA,2019,1
1617,PA,2020,2
1618,PA,2021,1
1619,PR,1956,1
1620,PR,1964,1
1621,PR,1971,1
1622,PR,1974,1
1623,PR,1975,2
1624,PR,1979,1
1625,PR,1985,1
1626,PR,1986,2
1627,PR,1988,1
1628,PR,1989,1
1629,PR,1992,1
1630,PR,1995,1
1631,PR,1996,1
1632,PR,1997,1
1633,PR,1998,2
1634,PR,2000,1
1635,PR,2001,1
1636,PR,2002,1
1637,PR,2004,2
1638,PR,2006,1
1639,PR,2009,1
1640,PR,2010,2
1641,PR,2011,4
1642,PR,2012,1
1643,PR,2017,4
1644,PR,2019,1
1645,PR,2020,7
1646,PR,2021,1
1647,PR,2022,3
1648,PW,1991,1
1649,RI,1954,1
1650,RI,1955,1
1651,RI,1978,2
1652,RI,1986,1
1653,RI,1991,1
1654,RI,1992,1
1655,RI,1993,1
1656,RI,1996,1
1657,RI,1997,1
1658,RI,2003,1
1659,RI,2005,2
1660,RI,2007,1
1661,RI,2010,2
1662,RI,2011,2
1663,RI,2013,3
1664,RI,2015,1
1665,RI,2020,3
1666,RI,2021,1
1667,RI,2022,1
1668,RI,2023,1
1669,RI,2024,1
1670,SC,1955,2
1671,SC,1977,1
1672,SC,1984,1
1673,SC,1989,1
1674,SC,1991,1
1675,SC,1996,1
1676,SC,1998,1
1677,SC,1999,2
1678,SC,2000,1
1679,SC,2002,2
1680,SC,2003,1
1681,SC,2004,3
1682,SC,2005,2
1683,SC,2006,1
1684,SC,2009,1
1685,SC,2014,2
1686,SC,2016,2
1687,SC,2017,4
1688,SC,2018,3
1689,SC,2019,2
1690,SC,2020,4
1691,SC,2022,1
1692,SC,2023,2
1693,SD,1954,1
1694,SD,1960,1
1695,SD,1962,1
1696,SD,1965,1
1697,SD,1969,1
1698,SD,1972,1
1699,SD,1974,1
1700,SD,1975,1
1701,SD,1976,2
1702,SD,1984,1
1703,SD,1985,2
1704,SD,1986,1
1705,SD,1987,1
1706,SD,1988,1
1707,SD,1990,1
1708,SD,1992,1
1709,SD,1993,1
1710,SD,1994,2
1711,SD,1995,2
1712,SD,1996,1
1713,SD,1997,3
1714,SD,1998,1
1715,SD,1999,1
1716,SD,2000,3
1717,SD,2001,2
1718,SD,2002,2
1719,SD,2004,2
1720,SD,2005,5
1721,SD,2006,3
1722,SD,2007,3
1723,SD,2008,2
1724,SD,2009,2
1725,SD,2010,6
1726,SD,2011,2
1727,SD,2012,2
1728,SD,2013,3
1729,SD,2014,2
1730,SD,2015,2
1731,SD,2017,1
1732,SD,2018,2
1733,SD,2019,3
1734,SD,2020,7
1735,SD,2021,1
1736,SD,2022,3
1737,SD,2023,4
1738,TN,1963,1
1739,TN,1969,1
1740,TN,1971,1
1741,TN,1972,1
1742,TN,1973,3
1743,TN,1974,1
1744,TN,1975,1
1745,TN,1977,1
1746,TN,1978,1
1747,TN,1979,1
1748,TN,1982,2
1749,TN,1984,1
1750,TN,1990,1
1751,TN,1991,2
1752,TN,1993,1
1753,TN,1994,2
1754,TN,1995,1
1755,TN,1997,2
1756,TN,1998,3
1757,TN,1999,4
1758,TN,2000,1
1759,TN,2001,4
1760,TN,2002,3
1761,TN,2003,4
1762,TN,2005,2
1763,TN,2006,1
1764,TN,2008,1
1765,TN,2009,4
1766,TN,2010,2
1767,TN,2011,6
1768,TN,2012,1
1769,TN,2014,2
1770,TN,2015,1
1771,TN,2017,6
1772,TN,2019,1
1773,TN,2020,6
1774,TN,2021,4
1775,TN,2022,3
1776,TN,2023,6
1777,TN,2024,1
1778,TX,1953,2
1779,TX,1954,1
1780,TX,1957,1
1781,TX,1958,1
1782,TX,1959,1
1783,TX,1960,1
1784,TX,1961,1
1785,TX,1963,1
1786,TX,1965,1
1787,TX,1966,2
1788,TX,1967,1
1789,TX,1968,2
1790,TX,1970,2
1791,TX,1971,1
1792,TX,1972,2
1793,TX,1973,3
1794,TX,1975,3
1795,TX,1976,1
1796,TX,1978,1
1797,TX,1979,5
1798,TX,1980,2
1799,TX,1981,1
1800,TX,1982,3
1801,TX,1983,1
1802,TX,1984,1
1803,TX,1985,2
1804,TX,1986,2
1805,TX,1987,1
1806,TX,1988,2
1807,TX,1989,4
1808,TX,1990,2
1809,TX,1991,1
1810,TX,1992,4
1811,TX,1993,5
1812,TX,1994,2
1813,TX,1995,2
1814,TX,1996,55
1815,TX,1997,1
1816,TX,1998,33
1817,TX,1999,13
1818,TX,2000,19
1819,TX,2001,5
1820,TX,2002,2
1821,TX,2003,3
1822,TX,2005,3
1823,TX,2006,22
1824,TX,2007,4
1825,TX,2008,28
1826,TX,2009,16
1827,TX,2010,2
1828,TX,2011,57
1829,TX,2012,1
1830,TX,2013,2
1831,TX,2014,2
1832,TX,2015,1
1833,TX,2016,6
1834,TX,2017,1
1835,TX,2018,7
1836,TX,2019,3
1837,TX,2020,6
1838,TX,2021,3
1839,TX,2022,8
1840,TX,2023,1
1841,UT,1977,1
1842,UT,1983,1
1843,UT,1984,1
1844,UT,1986,1
1845,UT,1989,1
1846,UT,1994,2
1847,UT,1999,1
1848,UT,2001,1
1849,UT,2002,1
1850,UT,2003,1
1851,UT,2004,1
1852,UT,2005,4
1853,UT,2007,3
1854,UT,2009,1
1855,UT,2010,1
1856,UT,2011,2
1857,UT,2012,6
1858,UT,2013,2
1859,UT,2014,1
1860,UT,2016,1
1861,UT,2017,3
1862,UT,2018,3
1863,UT,2019,1
1864,UT,2020,7
1865,UT,2021,4
1866,UT,2024,1
1867,VA,1957,1
1868,VA,1962,1
1869,VA,1963,1
1870,VA,1969,1
1871,VA,1972,1
1872,VA,1973,2
1873,VA,1977,4
1874,VA,1978,1
1875,VA,1979,2
1876,VA,1984,1
1877,VA,1986,1
1878,VA,1990,1
1879,VA,1992,1
1880,VA,1993,1
1881,VA,1994,3
1882,VA,1995,1
1883,VA,1996,3
1884,VA,1998,1
1885,VA,1999,3
1886,VA,2000,1
1887,VA,2001,3
1888,VA,2002,6
1889,VA,2003,2
1890,VA,2004,3
1891,VA,2005,2
1892,VA,2006,3
1893,VA,2010,3
1894,VA,2011,4
1895,VA,2012,3
1896,VA,2013,2
1897,VA,2016,1
1898,VA,2017,1
1899,VA,2018,1
1900,VA,2019,2
1901,VA,2020,2
1902,VA,2021,1
1903,VA,2022,3
1904,VI,1964,1
1905,VI,1971,1
1906,VI,1974,1
1907,VI,1975,1
1908,VI,1977,1
1909,VI,1979,1
1910,VI,1983,1
1911,VI,1985,1
1912,VI,1989,1
1913,VI,1995,1
1914,VI,1996,1
1915,VI,1998,2
1916,VI,2000,2
1917,VI,2004,1
1918,VI,2005,1
1919,VI,2009,1
1920,VI,2010,1
1921,VI,2011,2
1922,VI,2017,4
1923,VI,2019,1
1924,VI,2020,3
1925,VI,2022,1
1926,VI,2024,1
1927,VT,1964,2
1928,VT,1969,1
1929,VT,1973,1
1930,VT,1976,1
1931,VT,1977,1
1932,VT,1984,1
1933,VT,1989,1
1934,VT,1990,1
1935,VT,1992,1
1936,VT,1993,1
1937,VT,1995,1
1938,VT,1996,2
1939,VT,1997,1
1940,VT,1998,2
1941,VT,2000,2
1942,VT,2001,2
1943,VT,2002,1
1944,VT,2003,1
1945,VT,2004,1
1946,VT,2007,2
1947,VT,2008,3
1948,VT,2009,1
1949,VT,2011,5
1950,VT,2012,2
1951,VT,2013,2
1952,VT,2014,2
1953,VT,2015,2
1954,VT,2017,1
1955,VT,2018,2
1956,VT,2019,1
1957,VT,2020,3
1958,VT,2021,2
1959,VT,2023,3
1960,VT,2024,1
1961,WA,1956,1
1962,WA,1957,1
1963,WA,1963,2
1964,WA,1965,2
1965,WA,1970,1
1966,WA,1971,1
1967,WA,1972,3
1968,WA,1974,1
1969,WA,1976,1
1970,WA,1977,1
1971,WA,1978,1
1972,WA,1979,2
1973,WA,1980,2
1974,WA,1982,1
1975,WA,1983,1
1976,WA,1985,1
1977,WA,1986,3
1978,WA,1987,1
1979,WA,1988,1
1980,WA,1989,1
1981,WA,1990,1
1982,WA,1991,2
1983,WA,1992,3
1984,WA,1993,1
1985,WA,1994,5
1986,WA,1996,3
1987,WA,1997,7
1988,WA,1998,3
1989,WA,1999,2
1990,WA,2000,3
1991,WA,2001,9
1992,WA,2002,2
1993,WA,2003,3
1994,WA,2004,6
1995,WA,2005,3
1996,WA,2006,4
1997,WA,2007,5
1998,WA,2008,3
1999,WA,2009,5
2000,WA,2010,2
2001,WA,2011,2
2002,WA,2012,10
2003,WA,2013,3
2004,WA,2014,12
2005,WA,2015,13
2006,WA,2016,8
2007,WA,2017,4
2008,WA,2018,10
2009,WA,2019,1
2010,WA,2020,14
2011,WA,2021,10
2012,WA,2022,5
2013,WA,2023,9
2014,WI,1965,1
2015,WI,1969,2
2016,WI,1972,1
2017,WI,1973,1
2018,WI,1974,1
2019,WI,1975,1
2020,WI,1976,2
2021,WI,1978,2
2022,WI,1979,1
2023,WI,1980,2
2024,WI,1984,2
2025,WI,1986,1
2026,WI,1987,1
2027,WI,1990,2
2028,WI,1991,1
2029,WI,1992,3
2030,WI,1993,1
2031,WI,1996,1
2032,WI,1997,1
2033,WI,1998,2
2034,WI,1999,1
2035,WI,2000,1
2036,WI,2001,2
2037,WI,2002,2
2038,WI,2004,1
2039,WI,2005,1
2040,WI,2007,1
2041,WI,2008,2
2042,WI,2010,1
2043,WI,2011,2
2044,WI,2012,1
2045,WI,2013,1
2046,WI,2016,1
2047,WI,2017,1
2048,WI,2018,2
2049,WI,2019,2
2050,WI,2020,3
2051,WV,1954,1
2052,WV,1957,1
2053,WV,1961,1
2054,WV,1962,1
2055,WV,1963,1
2056,WV,1964,1
2057,WV,1967,1
2058,WV,1969,2
2059,WV,1972,3
2060,WV,1974,2
2061,WV,1975,1
2062,WV,1977,4
2063,WV,1979,1
2064,WV,1980,1
2065,WV,1984,1
2066,WV,1986,1
2067,WV,1993,1
2068,WV,1995,1
2069,WV,1996,5
2070,WV,1997,1
2071,WV,1998,1
2072,WV,2000,1
2073,WV,2001,1
2074,WV,2002,3
2075,WV,2003,3
2076,WV,2004,4
2077,WV,2005,2
2078,WV,2007,1
2079,WV,2008,1
2080,WV,2009,1
2081,WV,2010,4
2082,WV,2012,4
2083,WV,2013,3
2084,WV,2014,1
2085,WV,2015,5
2086,WV,2016,1
2087,WV,2017,1
2088,WV,2018,2
2089,WV,2019,1
2090,WV,2020,2
2091,WV,2021,2
2092,WV,2023,2
2093,WV,2024,1
2094,WY,1963,1
2095,WY,1977,1
2096,WY,1978,1
2097,WY,1979,1
2098,WY,1985,1
2099,WY,1987,1
2100,WY,1999,1
2101,WY,2000,1
2102,WY,2001,4
2103,WY,2002,3
2104,WY,2004,1
2105,WY,2005,1
2106,WY,2006,2
2107,WY,2007,1
2108,WY,2010,1
2109,WY,2011,1
2110,WY,2012,4
2111,WY,2015,1
2112,WY,2016,3
2113,WY,2017,2
2114,WY,2018,2
2115,WY,2020,4
2116,WY,2023,1
